Date,Open,High,Low,Close,Adj Close,Volume
1/3/2011,9.068499565,9.300000191,9.060500145,9.211000443,9.211000443,106628000
1/4/2011,9.307499886,9.385000229,9.18900013,9.250499725,9.250499725,100636000
1/5/2011,9.204999924,9.37250042,9.203499794,9.37100029,9.37100029,68376000
1/6/2011,9.324999809,9.370499611,9.262499809,9.293000221,9.293000221,63594000
1/7/2011,9.394000053,9.422499657,9.187000275,9.274499893,9.274499893,104434000
1/10/2011,9.251999855,9.264499664,9.125499725,9.234000206,9.234000206,67518000
1/11/2011,9.270999908,9.300000191,9.160499573,9.217000008,9.217000008,56284000
1/12/2011,9.267999649,9.269000053,9.164999962,9.204000473,9.204000473,53582000
1/13/2011,9.180000305,9.322500229,9.175499916,9.276499748,9.276499748,67340000
1/14/2011,9.274999619,9.44699955,9.24600029,9.4375,9.4375,73256000
1/18/2011,9.432999611,9.579999924,9.412500381,9.5625,9.5625,77924000
1/19/2011,9.545000076,9.550000191,9.310500145,9.343500137,9.343500137,77648000
1/20/2011,9.264499664,9.342499733,9.050000191,9.097999573,9.097999573,114198000
1/21/2011,9.149999619,9.162500381,8.842000008,8.87100029,8.87100029,136124000
1/24/2011,8.897500038,8.924500465,8.707500458,8.842499733,8.842499733,112006000
1/25/2011,8.774999619,8.837499619,8.713999748,8.835000038,8.835000038,93020000
1/26/2011,8.875499725,8.894499779,8.731499672,8.769499779,8.769499779,75244000
1/27/2011,8.873999596,9.25,8.86550045,9.222499847,9.222499847,291888000
1/28/2011,8.572500229,8.685500145,8.345000267,8.55700016,8.55700016,398164000
1/31/2011,8.508000374,8.57199955,8.370499611,8.482000351,8.482000351,134362000
2/1/2011,8.526000023,8.654999733,8.475500107,8.605500221,8.605500221,101718000
2/2/2011,8.571000099,8.760000229,8.543499947,8.67650032,8.67650032,90950000
2/3/2011,8.675000191,8.733499527,8.597499847,8.685500145,8.685500145,73578000
2/4/2011,8.699999809,8.859499931,8.6875,8.796500206,8.796500206,86956000
2/7/2011,8.807499886,8.87749958,8.738499641,8.821499825,8.821499825,105094000
2/8/2011,8.833000183,9.155500412,8.829500198,9.152999878,9.152999878,155898000
2/9/2011,9.157500267,9.32349968,9.112999916,9.265000343,9.265000343,166254000
2/10/2011,9.219499588,9.362000465,9.180000305,9.310500145,9.310500145,106628000
2/11/2011,9.277999878,9.475000381,9.268500328,9.462499619,9.462499619,89758000
2/14/2011,9.462499619,9.569999695,9.417499542,9.520999908,9.520999908,81226000
2/15/2011,9.436499596,9.524499893,9.412500381,9.451499939,9.451499939,77818000
2/16/2011,9.488499641,9.5,9.317500114,9.331000328,9.331000328,92564000
2/17/2011,9.288499832,9.454500198,9.265500069,9.387999535,9.387999535,68510000
2/18/2011,9.376999855,9.425000191,9.256500244,9.324999809,9.324999809,83572000
2/22/2011,9.184000015,9.236000061,8.965999603,9.020999908,9.020999908,112742000
2/23/2011,9.012499809,9.057499886,8.719499588,8.833999634,8.833999634,109640000
2/24/2011,8.843000412,8.987500191,8.727999687,8.887499809,8.887499809,93130000
2/25/2011,8.947500229,9.037500381,8.854999542,8.862000465,8.862000465,83828000
2/28/2011,8.695500374,8.794500351,8.607500076,8.664500237,8.664500237,135664000
3/1/2011,8.67650032,8.697999954,8.43350029,8.472000122,8.472000122,116942000
3/2/2011,8.454500198,8.664999962,8.417499542,8.600999832,8.600999832,103714000
3/3/2011,8.685500145,8.722999573,8.602499962,8.639499664,8.639499664,82764000
3/4/2011,8.630999565,8.637499809,8.475500107,8.583499908,8.583499908,98486000
3/7/2011,8.595999718,8.604499817,8.312000275,8.454000473,8.454000473,118658000
3/8/2011,8.469499588,8.485500336,8.336000443,8.344499588,8.344499588,84380000
3/9/2011,8.333499908,8.487500191,8.194999695,8.452500343,8.452500343,142178000
3/10/2011,8.353500366,8.423500061,8.241000175,8.30700016,8.30700016,119968000
3/11/2011,8.274999619,8.460000038,8.206000328,8.403499603,8.403499603,92198000
3/14/2011,8.329999924,8.404000282,8.228500366,8.336500168,8.336500168,80440000
3/15/2011,8.069499969,8.343999863,8.038000107,8.25399971,8.25399971,98690000
3/16/2011,8.234999657,8.406999588,8.143500328,8.234999657,8.234999657,104162000
3/17/2011,8.295499802,8.31499958,8.038999557,8.048500061,8.048500061,129428000
3/18/2011,8.059499741,8.177000046,8.029500008,8.090999603,8.090999603,148854000
3/21/2011,8.168499947,8.289500237,8.086000443,8.225999832,8.225999832,81102000
3/22/2011,8.203499794,8.222000122,8.112500191,8.130000114,8.130000114,72228000
3/23/2011,8.114999771,8.312999725,8.041000366,8.265999794,8.265999794,94426000
3/24/2011,8.410499573,8.600000381,8.368000031,8.555000305,8.555000305,125664000
3/25/2011,8.581999779,8.674500465,8.515000343,8.548999786,8.548999786,85876000
3/28/2011,8.590000153,8.625,8.462499619,8.467499733,8.467499733,68016000
3/29/2011,8.536499977,8.741999626,8.503499985,8.730999947,8.730999947,97692000
3/30/2011,8.888999939,9.057999611,8.883000374,8.970999718,8.970999718,137186000
3/31/2011,8.965499878,9.078499794,8.925000191,9.006500244,9.006500244,96530000
4/1/2011,9.079000473,9.162500381,8.929499626,9.006500244,9.006500244,113682000
4/4/2011,9.044500351,9.180500031,9.034500122,9.147000313,9.147000313,83728000
4/5/2011,9.104999542,9.31799984,9.090000153,9.264499664,9.264499664,111384000
4/6/2011,9.307499886,9.413499832,9.055999756,9.137999535,9.137999535,108614000
4/7/2011,9.138999939,9.258500099,9.088000298,9.245499611,9.245499611,91280000
4/8/2011,9.262999535,9.31099987,9.138999939,9.235500336,9.235500336,74528000
4/11/2011,9.243000031,9.324500084,9.092499733,9.201999664,9.201999664,65942000
4/12/2011,9.152999878,9.229499817,8.970999718,9.024000168,9.024000168,106690000
4/13/2011,9.041500092,9.144000053,8.989999771,9.114500046,9.114500046,84326000
